news_path,Original_or_LLM,class,setType
train-true-orig/302.txt,original,0,train
train-true-orig/3116.txt,original,0,train
train-true-orig/960.txt,original,0,train
train-fake-orig/2490.txt,original,1,train
train-fake-orig/1837.txt,original,1,train
train-fake-LLM/3280.txt,LLM,1,train
train-fake-orig/2985.txt,original,1,train
train-true-orig/1164.txt,original,0,train
train-true-orig/1314.txt,original,0,train
train-fake-LLM/1750.txt,LLM,1,train
train-true-orig/1349.txt,original,0,train
train-true-orig/3013.txt,original,0,train
train-true-orig/635.txt,original,0,train
train-true-orig/905.txt,original,0,train
train-true-orig/2906.txt,original,0,train
train-fake-LLM/1863.txt,LLM,1,train
train-fake-LLM/3319.txt,LLM,1,train
train-fake-LLM/1113.txt,LLM,1,train
train-fake-LLM/593.txt,LLM,1,train
train-fake-LLM/2263.txt,LLM,1,train
train-true-orig/700.txt,original,0,train
train-true-orig/2451.txt,original,0,train
train-true-orig/3508.txt,original,0,train
train-true-orig/3597.txt,original,0,train
train-fake-orig/1091.txt,original,1,train
train-true-orig/1842.txt,original,0,train
train-fake-orig/2478.txt,original,1,train
train-fake-LLM/191.txt,LLM,1,train
train-fake-LLM/388.txt,LLM,1,train
train-fake-orig/1556.txt,original,1,train
train-fake-LLM/654.txt,LLM,1,train
train-fake-LLM/2416.txt,LLM,1,train
train-fake-orig/1734.txt,original,1,train
train-fake-LLM/3094.txt,LLM,1,train
train-fake-LLM/1096.txt,LLM,1,train
train-fake-LLM/63.txt,LLM,1,train
train-true-orig/235.txt,original,0,train
train-fake-LLM/1.txt,LLM,1,train
train-fake-orig/1065.txt,original,1,train
train-fake-LLM/2743.txt,LLM,1,train
train-true-orig/1418.txt,original,0,train
train-fake-orig/771.txt,original,1,train
train-fake-LLM/3300.txt,LLM,1,train
train-true-orig/1283.txt,original,0,train
train-true-orig/3339.txt,original,0,train
train-true-orig/1011.txt,original,0,train
train-true-orig/630.txt,original,0,train
train-true-orig/456.txt,original,0,train
train-true-orig/3038.txt,original,0,train
train-true-orig/596.txt,original,0,train
train-true-orig/3309.txt,original,0,train
train-true-orig/2336.txt,original,0,train
train-true-orig/1572.txt,original,0,train
train-fake-LLM/3504.txt,LLM,1,train
train-fake-LLM/2625.txt,LLM,1,train
train-fake-orig/3036.txt,original,1,train
train-fake-orig/1543.txt,original,1,train
train-true-orig/979.txt,original,0,train
train-fake-LLM/2127.txt,LLM,1,train
train-fake-orig/1869.txt,original,1,train
train-true-orig/1698.txt,original,0,train
train-fake-orig/3127.txt,original,1,train
train-fake-LLM/287.txt,LLM,1,train
train-true-orig/3306.txt,original,0,train
train-true-orig/1766.txt,original,0,train
train-fake-LLM/2598.txt,LLM,1,train
train-true-orig/2677.txt,original,0,train
train-fake-LLM/3589.txt,LLM,1,train
train-true-orig/1923.txt,original,0,train
train-true-orig/3193.txt,original,0,train
train-fake-LLM/3184.txt,LLM,1,train
train-fake-LLM/2838.txt,LLM,1,train
train-true-orig/2029.txt,original,0,train
train-true-orig/2704.txt,original,0,train
train-fake-LLM/99.txt,LLM,1,train
train-fake-LLM/3116.txt,LLM,1,train
train-fake-LLM/512.txt,LLM,1,train
train-true-orig/3476.txt,original,0,train
train-fake-orig/2464.txt,original,1,train
train-true-orig/1734.txt,original,0,train
train-fake-orig/2601.txt,original,1,train
train-fake-orig/2635.txt,original,1,train
train-true-orig/939.txt,original,0,train
train-true-orig/2472.txt,original,0,train
train-fake-orig/2358.txt,original,1,train
train-true-orig/2589.txt,original,0,train
train-fake-LLM/3164.txt,LLM,1,train
train-fake-LLM/2006.txt,LLM,1,train
train-fake-orig/146.txt,original,1,train
train-true-orig/385.txt,original,0,train
train-true-orig/1357.txt,original,0,train
train-fake-LLM/2513.txt,LLM,1,train
train-true-orig/2182.txt,original,0,train
train-fake-orig/790.txt,original,1,train
train-true-orig/637.txt,original,0,train
train-true-orig/1108.txt,original,0,train
train-fake-orig/133.txt,original,1,train
train-fake-orig/1439.txt,original,1,train
train-fake-orig/2203.txt,original,1,train
train-fake-LLM/2964.txt,LLM,1,train
train-true-orig/2986.txt,original,0,train
train-fake-orig/1660.txt,original,1,train
train-fake-LLM/2533.txt,LLM,1,train
train-fake-LLM/2715.txt,LLM,1,train
train-fake-LLM/1987.txt,LLM,1,train
train-fake-LLM/920.txt,LLM,1,train
train-fake-LLM/2396.txt,LLM,1,train
train-fake-LLM/1085.txt,LLM,1,train
train-fake-orig/1532.txt,original,1,train
train-true-orig/3418.txt,original,0,train
train-fake-LLM/1766.txt,LLM,1,train
train-true-orig/2922.txt,original,0,train
train-fake-LLM/3270.txt,LLM,1,train
train-fake-LLM/1776.txt,LLM,1,train
