news_path,Original_or_LLM,class,setType
train-fake-LLM/164.txt,LLM,1,train
train-fake-LLM/1336.txt,LLM,1,train
train-fake-LLM/469.txt,LLM,1,train
train-fake-LLM/322.txt,LLM,1,train
train-true-orig/785.txt,original,0,train
train-fake-orig/247.txt,original,1,train
train-true-orig/1785.txt,original,0,train
train-true-orig/1294.txt,original,0,train
train-fake-orig/26.txt,original,1,train
train-true-orig/711.txt,original,0,train
train-fake-LLM/1652.txt,LLM,1,train
train-fake-orig/442.txt,original,1,train
train-fake-orig/214.txt,original,1,train
train-true-orig/141.txt,original,0,train
train-true-orig/1750.txt,original,0,train
train-true-orig/1528.txt,original,0,train
train-fake-LLM/1181.txt,LLM,1,train
train-true-orig/1394.txt,original,0,train
train-true-orig/1577.txt,original,0,train
train-true-orig/944.txt,original,0,train
train-true-orig/1206.txt,original,0,train
train-true-orig/1581.txt,original,0,train
train-fake-orig/1196.txt,original,1,train
train-true-orig/651.txt,original,0,train
train-true-orig/1600.txt,original,0,train
train-fake-orig/742.txt,original,1,train
train-fake-LLM/114.txt,LLM,1,train
train-fake-LLM/1252.txt,LLM,1,train
train-fake-LLM/1735.txt,LLM,1,train
train-fake-LLM/1450.txt,LLM,1,train
train-fake-orig/421.txt,original,1,train
train-true-orig/88.txt,original,0,train
train-true-orig/530.txt,original,0,train
train-true-orig/1252.txt,original,0,train
train-true-orig/894.txt,original,0,train
train-true-orig/1553.txt,original,0,train
train-fake-LLM/894.txt,LLM,1,train
train-true-orig/298.txt,original,0,train
train-fake-LLM/495.txt,LLM,1,train
train-true-orig/1763.txt,original,0,train
train-true-orig/1379.txt,original,0,train
train-fake-orig/1230.txt,original,1,train
train-true-orig/1121.txt,original,0,train
train-true-orig/1058.txt,original,0,train
train-fake-LLM/1461.txt,LLM,1,train
train-true-orig/1735.txt,original,0,train
train-true-orig/483.txt,original,0,train
train-true-orig/1677.txt,original,0,train
train-true-orig/1594.txt,original,0,train
train-fake-LLM/540.txt,LLM,1,train
train-fake-LLM/430.txt,LLM,1,train
train-fake-orig/782.txt,original,1,train
train-true-orig/1315.txt,original,0,train
train-fake-orig/189.txt,original,1,train
train-fake-LLM/70.txt,LLM,1,train
train-true-orig/343.txt,original,0,train
train-fake-LLM/231.txt,LLM,1,train
train-fake-LLM/918.txt,LLM,1,train
train-fake-LLM/1216.txt,LLM,1,train
train-true-orig/749.txt,original,0,train
train-true-orig/252.txt,original,0,train
train-fake-LLM/937.txt,LLM,1,train
train-true-orig/614.txt,original,0,train
train-true-orig/1190.txt,original,0,train
train-true-orig/676.txt,original,0,train
train-fake-LLM/184.txt,LLM,1,train
train-true-orig/182.txt,original,0,train
train-fake-LLM/2.txt,LLM,1,train
train-true-orig/1670.txt,original,0,train
train-true-orig/397.txt,original,0,train
train-true-orig/422.txt,original,0,train
train-true-orig/1045.txt,original,0,train
train-true-orig/1569.txt,original,0,train
train-fake-orig/28.txt,original,1,train
train-fake-LLM/1399.txt,LLM,1,train
train-true-orig/1009.txt,original,0,train
train-fake-LLM/875.txt,LLM,1,train
train-true-orig/161.txt,original,0,train
train-fake-LLM/865.txt,LLM,1,train
train-true-orig/1113.txt,original,0,train
train-true-orig/266.txt,original,0,train
train-true-orig/46.txt,original,0,train
train-fake-LLM/646.txt,LLM,1,train
train-true-orig/25.txt,original,0,train
train-true-orig/162.txt,original,0,train
train-true-orig/724.txt,original,0,train
train-fake-LLM/1366.txt,LLM,1,train
train-fake-LLM/1142.txt,LLM,1,train
train-true-orig/224.txt,original,0,train
train-fake-LLM/360.txt,LLM,1,train
train-true-orig/812.txt,original,0,train
train-fake-LLM/625.txt,LLM,1,train
train-fake-LLM/382.txt,LLM,1,train
train-true-orig/641.txt,original,0,train
train-fake-LLM/954.txt,LLM,1,train
train-fake-LLM/1490.txt,LLM,1,train
train-true-orig/1324.txt,original,0,train
train-true-orig/1376.txt,original,0,train
train-true-orig/1548.txt,original,0,train
train-true-orig/1509.txt,original,0,train
train-true-orig/1586.txt,original,0,train
train-true-orig/76.txt,original,0,train
train-true-orig/677.txt,original,0,train
train-fake-LLM/215.txt,LLM,1,train
train-true-orig/1238.txt,original,0,train
train-true-orig/656.txt,original,0,train
train-fake-orig/978.txt,original,1,train
train-true-orig/398.txt,original,0,train
train-true-orig/184.txt,original,0,train
train-fake-LLM/1313.txt,LLM,1,train
train-fake-orig/749.txt,original,1,train
train-fake-LLM/1479.txt,LLM,1,train
train-true-orig/674.txt,original,0,train
train-fake-LLM/53.txt,LLM,1,train
train-true-orig/327.txt,original,0,train
train-true-orig/1506.txt,original,0,train
train-true-orig/1517.txt,original,0,train
train-fake-LLM/352.txt,LLM,1,train
train-fake-LLM/1140.txt,LLM,1,train
train-fake-orig/852.txt,original,1,train
train-true-orig/1753.txt,original,0,train
train-fake-orig/1134.txt,original,1,train
train-true-orig/1038.txt,original,0,train
train-fake-LLM/1099.txt,LLM,1,train
train-fake-LLM/1538.txt,LLM,1,train
train-fake-orig/574.txt,original,1,train
train-true-orig/167.txt,original,0,train
train-fake-LLM/1009.txt,LLM,1,train
train-true-orig/1284.txt,original,0,train
train-true-orig/1461.txt,original,0,train
train-true-orig/807.txt,original,0,train
train-true-orig/496.txt,original,0,train
train-fake-LLM/1647.txt,LLM,1,train
train-fake-LLM/1138.txt,LLM,1,train
train-true-orig/362.txt,original,0,train
train-fake-LLM/965.txt,LLM,1,train
train-fake-LLM/1116.txt,LLM,1,train
train-true-orig/981.txt,original,0,train
train-true-orig/878.txt,original,0,train
train-fake-LLM/1106.txt,LLM,1,train
train-fake-orig/788.txt,original,1,train
train-true-orig/1257.txt,original,0,train
train-fake-LLM/1038.txt,LLM,1,train
train-true-orig/1259.txt,original,0,train
train-true-orig/488.txt,original,0,train
train-true-orig/163.txt,original,0,train
train-fake-orig/1615.txt,original,1,train
train-true-orig/1291.txt,original,0,train
train-fake-orig/665.txt,original,1,train
train-true-orig/948.txt,original,0,train
train-true-orig/663.txt,original,0,train
train-fake-LLM/482.txt,LLM,1,train
train-true-orig/546.txt,original,0,train
train-fake-orig/1781.txt,original,1,train
train-fake-LLM/1529.txt,LLM,1,train
train-true-orig/582.txt,original,0,train
train-true-orig/201.txt,original,0,train
train-true-orig/1621.txt,original,0,train
train-fake-LLM/676.txt,LLM,1,train
train-fake-LLM/1489.txt,LLM,1,train
train-true-orig/1148.txt,original,0,train
train-fake-LLM/1710.txt,LLM,1,train
train-fake-orig/1205.txt,original,1,train
train-fake-LLM/1288.txt,LLM,1,train
train-fake-LLM/473.txt,LLM,1,train
train-true-orig/1428.txt,original,0,train
train-fake-orig/890.txt,original,1,train
train-true-orig/1372.txt,original,0,train
train-true-orig/340.txt,original,0,train
train-fake-orig/860.txt,original,1,train
train-fake-LLM/1078.txt,LLM,1,train
train-fake-LLM/206.txt,LLM,1,train
train-true-orig/389.txt,original,0,train
train-true-orig/1473.txt,original,0,train
train-true-orig/411.txt,original,0,train
train-fake-LLM/84.txt,LLM,1,train
train-true-orig/986.txt,original,0,train
